x r/rpeak,V2,menc
0.6830201283771977,-0.09928635685234341,3.143535246243634e-10
0.690956439983888,-0.10413492737035511,8.224576820687368e-10
0.6989849670895097,-0.10935180090837628,2.1255608566884113e-09
0.7071067811865476,-0.11497961730519972,5.422646213539395e-09
0.7153229662176291,-0.12106812172992858,1.3646848953481994e-08
0.7236346187201891,-0.12767581243830453,3.3855962129922794e-08
0.7320428479728127,-0.1348721075146139,8.273904707269058e-08
0.7405487761432821,-0.14274023772292685,1.9904077185032473e-07
0.7491535384383408,-0.15138116184270317,4.709839595720874e-07
0.757858283255199,-0.1609189194492839,1.095398055612458e-06
0.7666641723348002,-0.17150797836293316,2.5020840891010772e-06
0.7755723809168673,-0.18334327169913872,5.608562185874702e-06
0.7845840978967508,-0.1966736785979609,1.2327361585862047e-05
0.7937005259840997,-0.21181952864557282,2.6546117034276177e-05
0.8029228818633765,-0.22919402617198423,5.5960562972986953e-05
0.8122523963562355,-0.24932686731747306,0.00011538426004109336
0.8216903145857902,-0.27288519785568355,0.00023250049197753286
0.8312378961427878,-0.30068187956925,0.00045744683902051834
0.8408964152537145,-0.33365360261115445,0.0008780556910296353
0.8506671609508557,-0.37278248689326143,0.001642833923602758
0.86055143724433,-0.4189270668958748,0.002993527533011079
0.8705505632961241,-0.4725271364481597,0.0053079101626236445
0.8806658735961485,-0.5331595993099083,0.009150721841558934
0.8908987181403393,-0.5989578190611826,0.01532608950204397
0.9012504626108302,-0.6659700677719864,0.02491845295124332
0.9117224885582168,-0.7276183618652649,0.03930218660645883
0.9223161935859392,-0.7745047072775906,0.06009529314658779
0.9330329915368074,-0.794855424486687,0.08903348892588578
0.9438743126816934,-0.7758424402352236,0.12775159391725358
0.9548416039104166,-0.7058320531067881,0.17748140554875508
0.9659363289248455,-0.5772914515650102,0.23870685420870832
0.9771599684342459,-0.38971032420392726,0.31084988466895086
0.988514020352896,-0.15162169899944297,0.39208070609276263
1.0,0.11919096079556755,0.47933961123161234
1.0184788644360523,0.5533199861735582,0.6199998546680352
1.0372991973029506,0.9005869508825742,0.7483678908457159
1.056467308549538,1.089103786041732,0.850820122573432
1.075989624725346,1.1116734081671105,0.9218153240215091
1.0958726911352443,1.017193070693446,0.9642102139633012
1.1161231740339044,0.8737332824197974,0.9858559951509885
1.1367478628608134,0.733561799054424,0.9952287033079572
1.1577536725165907,0.6203958284274361,0.9986414033517815
1.1791476456813665,0.5363875305333862,0.9996770866386536
1.2009369551760027,0.47475028199180475,0.999936650688011
1.2231289063669455,0.42812050188783535,0.9999898583557708
1.2457309396155174,0.39132014594668063,0.9999986904073598
1.2687506327724687,0.3612099726292157,0.9999998652119826
1.2921957037186267,0.3359135444643286,0.999999989077237
1.3160740129524926,0.31424715967469957,0.9999999993118327
1.340393566225653,0.2954131115020052,0.9999999999667287
1.3651625172268935,0.2788449242394741,0.9999999999987825
1.3903891703159095,0.26412493794508596,0.9999999999999662
1.4160819833075324,0.2509364677738997,0.9999999999999983
1.4422495703074083,0.2390340166178941,0.9999999999999983
1.4689007046000737,0.22822376581215675,0.9999999999999989
1.4960443215904002,0.21835031148209136,0.9999999999999998
1.5236895217993953,0.20928737683026805,0.9999999999999989
1.5518455739153598,0.20093114794548816,0.9999999999999987
1.5805219179014296,0.19319539199179497,0.9999999999999986
1.6097281681605395,0.18600781645723588,0.9999999999999991
1.6394741167588731,0.17930731096267624,0.999999999999257
1.6697697367088769,0.1730418283748546,1.0000000000000002
1.700625185312943,0.1671667366189166,0.9999999999999996
1.7320508075688774,0.16164352214230285,1.0000000000000002
1.7640571396382976,0.1564387595357926,1.0000000000000029
1.796654912379124,0.15152328502026613,0.9999999999999989
1.8298550549433454,0.1468715277821441,0.9999999999999993
1.8636686984412687,0.14246096473416692,0.9999999999999996
1.898107179673479,0.13827167268132587,0.9999999999999993
1.933182044931763,0.13428595800157905,0.9999999999999986
1.9689050538702673,0.1304880484892209,0.9999999999999986
2.0052881834481946,0.12686383543151697,1.0000000000000002
2.0423436319453514,0.12340065653200634,0.9999999999999986
2.080083823051904,0.12008711227588088,0.9999999999999991
2.118521410033706,0.1169129098295719,0.9999999999999993
2.157669279974593,0.11386872974790345,0.9999999999999998
2.1975405580970784,0.11094611164920347,0.9999999999999993
2.238148612162881,0.1081373557774225,0.9999999999999996
2.2795070569547775,0.10543543791311619,1.0
2.3216297588412695,0.10283393554280741,0.9999999999999993
2.3645308404256022,0.10032696358865102,0.9999999999999996
2.4082246852806923,0.09790911826407626,0.9999999999999993
2.4527259427715493,0.09557542788482144,0.9999999999999991
2.4980495329668133,0.09332130963743797,0.9999999999999993
2.544210651641051,0.09114253146995714,1.0
2.5912247753694864,0.0890351784198179,1.000000000000481
2.639107666716879,0.08699562277122264,1.0000000000001046
2.687875379522287,0.08502049755186897,1.0000000000000118
2.7375442642814822,0.08310667292425197,1.0000000000000004
2.7881309736288324,0.08125123512164101,0.9999999999999996
2.839652467920478,0.07945146760448182,0.9999999999999989
2.8921260209206823,0.07770483416833734,0.9999999999999989
2.945569225593255,0.07600896377429842,0.9999999999999991
3.0,0.07436163689128421,0.9999999999999996
3.2186034573732254,0.06844905272447588,1.0000000000000007
3.453136071938293,0.06312206782739581,0.9999999999999998
3.704758566640263,0.05829937323466741,0.9999999999999998
3.974716243773808,0.05391526690046325,1.0000000000000007
4.264345148095967,0.049915922326743266,1.0
4.575078679031472,0.04625668796800835,0.9999999999999998
4.908454684695076,0.04290009940780869,1.0
5.2661230728397905,0.03981439392672633,1.0000000000001323
5.649853976398354,0.03697238529519943,0.9999999999999991
6.06154651402987,0.0343506008568981,0.9999999999999991
6.503238189028388,0.03192861224794569,0.9999999999999981
6.977114973109454,0.029688510869844215,1.000000000000001
7.485522124980195,0.027614492817687013,1.0000000000000004
8.030975797235008,0.025692527424175805,0.9999999999999989
8.616175489020431,0.02391009029454578,0.9999999999999989
9.244017406098536,0.02225594652086962,0.9999999999999998
9.917608794429006,0.020719973248671808,1.0000000000000002
10.6402833182081,0.019293013350142645,1.000000000000044
11.415617558471746,0.01796675385158467,0.9999999999999993
12.247448713915892,0.01673362420315061,0.9999999999999998
13.139893591536982,0.01558671054629029,1.0000000000000002
14.097368981079072,0.014519682971323517,1.0000000000000024
15.124613514122386,0.013526733380048544,0.9999999999999996
16.22671111599604,0.012602522060744983,0.9999999999999993
17.40911616658047,0.01174213146481273,0.9999999999999993
18.677680494522672,0.010941025969305372,0.9999999999999996
20.038682338461037,0.010195016646644975,0.9999999999999996
21.49885741859149,0.00950023024604477,1.0000000000000127
23.065432272350872,0.008853081738338826,0.9999999999999991
24.74616001919883,0.00825024989607354,0.9999999999999991
26.549358731501474,0.007688655470691431,0.9999999999999989
28.483952601417553,0.007165441607637029,0.9999999999999998
30.559516107525866,0.006677956199386475,1.0
32.78632139977851,0.006223735927192002,1.0000000000000004
35.1753891372923,0.005800491780637684,0.9999999999999996
37.738543030579194,0.005406095879845807,0.9999999999999996
40.488468358150136,0.005038569449306555,0.9999999999999986
43.438774747096154,0.004696071815513874,1.000000000000003
46.60406352835349,0.004376890320098453,0.9999999999999996
