r [kpc],mass_cum [solMass],v_circ,v_rot,v_dm,v_baryon,v_ring,v_bulge
6.2,145775576415.79523,353.8954000036189,342.5888438717751,141.7346912276928,324.27338997566847,236.916150288922,221.41357044812966
6.3,148010439968.97067,356.0906524260561,343.95850317186887,142.53115432062208,326.32104252292,241.0328326641785,219.97408113486338
6.4,150220416521.22284,358.12612085402225,345.1483155746867,143.31514120394252,328.1997695606195,244.83905566056896,218.5610339536409
6.5,152403239146.64914,359.99455076408526,346.14977224135276,144.08695280482024,329.90154078339356,248.33572671262843,217.17364814674872
6.6,154556834227.03076,361.69003145272626,346.9556438822195,144.84687905540355,331.4197647699717,251.52459838306945,215.81111391311384
6.7,156679330986.94693,363.2080095632555,347.56000157762014,145.59519945041023,332.74929918468223,254.4082776008308,214.47266584829828
6.8,158769070432.78912,364.54531302436334,347.9582489894182,146.3321835683713,333.88647367053295,256.99024006017703,213.1576735985737
6.9,160824610816.26297,365.7000242307201,348.14699712887546,147.05809155941225,334.82894950892876,259.2748218875091,211.8655048950943
7.000000000000001,162844729287.73917,366.6714085761483,348.12399607066607,147.77317460218572,335.5756408549473,261.26718941583164,210.5955043916194
7.1,164828421775.23245,367.4598557130397,347.888079716544,148.4776753323246,336.12665096441964,262.9733073244348,209.34699692951207
7.2,166774901326.12473,368.0668707265709,347.4391633647914,149.17182824458513,336.4832640483301,264.3999064125124,208.11938034136307
7.3,168683599247.31097,368.4950416410272,346.778217138697,149.85586007064532,336.6479123899472,265.55448170662515,206.91214116632997
7.4,170554157699.37143,368.74789678121374,345.9071227842382,150.5299901343473,336.6240238763745,266.4452273505364,205.7247536706338
7.5,172386419243.72897,368.8298107612952,344.8285811133992,151.19443068603442,336.41592327911405,267.0809625287658,204.5566740305648
7.6,174180418570.5487,368.7459356018017,343.546045957768,151.8493872174795,336.02876160311644,267.4710862288028,203.40734169667618
7.7,175936380019.0734,368.50219840004945,342.06372989499346,152.49505875877233,335.4685190592822,267.6255706559076,202.2762497450647
7.8,177654700873.97763,368.10520934739293,340.3865147682352,153.13163815843285,334.7419103482603,267.5548574923616,201.16298062974926
7.8999999999999995,179335935055.95795,367.56211540033365,338.5198029038392,153.75931234790878,333.85623035053044,267.26977676670026,200.06711116758956
8.0,180980787138.95084,366.88055004600693,336.4694712234528,154.37826259150975,332.8193053915104,266.7815297672899,198.98820421399876
8.1,182590100243.3138,366.0685501056737,334.2417897456545,154.9886647227651,331.63940836988064,266.1016186570316,197.925808655749
8.2,184164832892.82434,365.1344558959189,331.8433212837518,155.5906893681015,330.32515536114977,265.2417404191847,196.8794743079369
8.3,185706051158.66748,364.08690201412185,329.28092014040703,156.18450215867534,328.8855021184234,264.21376301295555,195.8488216411354
8.4,187214917884.5765,362.93470674599234,326.56161968739866,156.77026393111765,327.32962852110893,263.0296510281788,194.83348887642916
8.5,188692668930.30704,361.6867706025387,323.6925282617317,157.34813091790858,325.66683240012964,261.70138308501777,193.83310299565164
8.6,190140606586.1594,360.3520302912789,320.680785330025,157.91825492803244,323.90648418259815,260.2409214656574,192.84727970660427
8.7,191560085869.668,358.93936400057845,317.53346230746524,158.48078351851706,322.0579269083385,258.6601117530555,191.87562344496385
8.8,192952496279.04776,357.45757507201466,314.257550001458,159.03586015742528,320.13046271848737,256.9706673211312,190.91775532119942
8.9,194319256031.87656,355.9153556814606,310.85992352967804,159.5836243788134,318.1333167714164,255.1840872013817,189.97338992390488
9.0,195661795568.01306,354.32117864053834,307.3472237721291,160.12421193014282,316.07552006912994,253.31158535437328,189.0422574775943
9.1,196981549591.45032,352.6832961932928,303.7258586470941,160.6577549125969,313.9659108887617,251.3641257443905,188.12408003487513
9.2,198279945290.71182,351.00959937112896,300.0018415068454,161.18438191471392,311.81297900737246,249.35224156821872,187.2185714675678
9.3,199558394381.20834,349.3076784897267,296.18085920279333,161.70421813973257,309.6249345380634,247.28613273364394,186.32543746182023
9.4,200818285402.18732,347.5847364200739,292.268167848596,162.2173855270051,307.40961082079923,245.17554971609525,185.44438154445598
9.5,202060972719.92004,345.8475727089616,288.2685676984555,162.72400286782315,305.1744459147148,243.02974110611885,184.57515373756573
9.6,203287778512.8102,344.1026429532984,284.1864667437472,163.22418591596434,302.9265488852304,240.8575608951445,183.71752605333452
9.700000000000001,204499974502.14197,342.3558654728179,280.0256377991819,163.71804749325577,300.6724788680172,238.6672165541988,182.87126425687944
9.8,205698793007.799,340.6128051919596,275.7894255768599,164.2056975904323,298.41845107093377,236.46653079940327,182.03612759908444
9.9,206885407590.94366,338.87847464863734,271.4804865313221,164.68724346354307,296.17010723664674,234.26265391982193,181.2118688138517
9.999999999999998,208060943056.57556,337.1574889475424,267.10095641547514,165.16278972614515,293.9326882864329,232.06228123156026,180.39823411800228
10.1,209226465482.1345,335.45397512763043,262.6523126889746,165.63243843751502,291.7109267171383,229.87150543787482,179.59497697290078
10.200000000000001,210382982262.571,333.7716369321231,258.1354251343877,166.09628918708202,289.5091161580758,227.69586941099405,178.8018998551239
10.3,211531446610.44916,332.11377057829066,253.55054258165396,166.55443917528694,287.3311250086477,225.54041172291073,178.0188138332436
10.4,212672745632.30484,330.4831893419182,248.89715388051934,167.00698329104685,285.1803043157612,223.40955633850362,177.24552492591496
10.5,213807718063.13864,328.88236548543364,244.17412562706485,167.45401418600386,283.05964647100075,221.30731052881063,176.48183409856247
10.6,214937133052.1094,327.31329299342207,239.37946525258,167.8956223457191,280.9716209287718,219.237050735435,175.72753726200605
10.7,216061716912.50427,325.7776848036944,234.5105213762704,168.3318961579649,278.9183978369289,217.20180362404486,174.98242527288625
10.8,217182126684.312,324.2768133370685,229.56369330448567,168.76292197826308,276.9016573323509,215.20399245001985,174.24628967921953
10.9,218298981544.85056,322.81174346891913,224.53466775125779,169.18878419280307,274.922856497608,213.24574159883642,173.51896355951027
11.0,219412834548.62204,321.3831629756398,219.4180831651282,169.60956527886674,272.98302659715034,211.32862962306484,172.80029835558145
11.100000000000001,220524205446.90707,319.99156872737456,214.20767749285278,170.02534586288377,271.0829869630568,209.45397799596964,172.09014185152117
11.200000000000001,221633552913.20633,318.63713237907996,208.89595310924116,170.4362047762305,269.2231829398021,207.62263802607617,171.38833802604861
11.3,222741306427.93176,317.319869478092,203.47425759629346,170.84221910887635,267.40388130232526,205.83523967663686,170.69472705039695
11.4,223847840838.93576,316.0395383642837,197.9324263028393,171.24346426098424,265.6250473080551,204.09202893799244,170.0091452874821
11.5,224953505065.20712,314.7957697447076,192.25872839839514,171.64001399255852,263.88649500457063,202.39305979761897,169.33142529239723
11.6,226058601157.89975,313.58801069821203,186.43946380310086,172.0319404712282,262.18781800717926,200.7380936254039,168.66140542223735
11.700000000000001,227163407136.46674,312.41562233522023,180.45872184986013,172.41931431825446,260.52850348690436,199.12672303334656,167.99895625606374
11.799999999999999,228268163200.50687,311.2778460545945,174.2978125214485,172.80220465284376,258.9078900140059,197.55833742641613,167.34395365478505
11.9,229373085841.16135,310.17383746318336,167.9346451288084,173.18067913483884,257.32520634604236,196.03217903209728,166.69627051905223
12.0,230478363621.28903,309.102681611958,161.3428453321309,173.55480400586336,255.77958829075834,194.5473638519213,166.05577678737347
12.1,231584160626.3036,308.0633991957295,154.49051442140458,173.9246441289888,254.27008492670157,193.10288890752943,165.42233943515117
12.200000000000001,232690622639.4191,307.0549768387257,147.33852135584584,174.29026302698725,252.79569421850124,191.69767841666527,164.7958224745845
12.3,233797870383.32928,306.0763650202088,139.83793133248975,174.651722919231,251.3553598102262,190.33057919669258,164.1760869553779
12.4,234906013900.48007,305.1264993684688,131.92617618739285,175.00908475730003,249.94799632977325,189.0003910462689,163.56299414484252
12.5,236015139577.5463,304.20432956348094,123.5210257109212,175.36240825935175,248.5725244162101,187.7058886484068,162.95643362984862
12.6,237125326829.5894,303.30880432655033,114.51043428521531,175.71175194330257,247.22785241759655,186.44580853287206,162.3563102917177
12.700000000000001,238236636344.1226,302.43889589030954,104.73460949441585,176.05717315887688,245.91290638487183,185.21890393960197,161.76252702671047
12.8,239349121243.85193,301.5935766040676,93.95098092930498,176.39872811856668,244.62660151133514,184.02390747983938,161.1749845442434
